caseId,caseKind,clockArm,seed,N,clockImpaired,selectorHash,traceHash,kernelStateHash,nativeScheduleHash,scheduleHash,logicalHash,selectorAdmissible,slotChanged,actualSubsetUnion,reacquired,firstReacquiredFrame,finalSuppressed,dataTransitionExact,fixedProofAfterReacquisition,kernelControlAttempts,physicalControlAttempts,kernelControlBytes,physicalControlBytes,kernelControlAirtime,physicalControlAirtime,kernelRecipientAttempts,physicalRecipientAttempts,kernelRecipientSuccess,physicalRecipientSuccess,kernelRecipientErasure,physicalRecipientErasure,revokeMapped,claimMapped,proofMapped,responseMapped,kernelRevokeAttempts,kernelClaimAttempts,kernelProofAttempts,kernelResponseAttempts,maxControlPacketBytes,kernelCollisionFrames,physicalCollisionFrames,clockTimingConflictFree,clockEquationResidual,clockMinIntergroupGap,clockMaxIntragroupSkew,nativeDataAttempts,physicalDataAttempts,nativeControlAttempts,physicalFrameDuration,horizonSec,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
revoke-blackout,revoke-blackout,affine-clock,16085046,20,1,6447123,51452815860,196321777,2543214588,4944750682,2629214260,1,1,1,1,14,0,1,1,46,46,1280,1280,0.04096,0.04096,874,874,692,692,182,182,1,3,40,2,1,3,40,2,28,0,0,1,2.77555756156289e-17,0.0015524762053154,0.00142170664714314,1194,1194,46,0.337846960278411,20.3708176167047,0.24468085106383,0.252764612954186,0,0
response-blackout,response-blackout,zero-clock,16085046,20,0,6447123,50987092721,205543794,2615103308,5068920830,2555151088,1,1,1,0,NaN,1,1,0,134,134,3660,3660,0.11712,0.11712,2546,2546,1998,1998,548,548,1,49,40,44,1,49,40,44,28,0,0,1,8.88178419700125e-16,0.00290011600463913,0,1147,1147,134,0.337846960278411,20.3708176167047,0.712765957446808,0.722748815165877,0,0
response-blackout,response-blackout,affine-clock,16085046,20,1,6447123,50987092721,205543794,2615103308,5107212442,2555151088,1,1,1,0,NaN,1,1,0,134,134,3660,3660,0.11712,0.11712,2546,2546,1998,1998,548,548,1,49,40,44,1,49,40,44,28,0,0,1,1.77635683940025e-15,0.0015524762053154,0.00142170664714314,1147,1147,134,0.337846960278411,20.3708176167047,0.712765957446808,0.722748815165877,0,0
incomplete-union,incomplete-union,zero-clock,16085046,20,0,6447123,51463788363,196321777,2543368211,4956294079,2629561390,1,1,0,1,14,0,1,1,46,46,1280,1280,0.04096,0.04096,874,874,706,706,168,168,1,3,40,2,1,3,40,2,28,52,104,1,0,0.00290011600463913,0,1194,1194,46,0.337846960278411,20.3708176167047,0.24468085106383,0.252764612954186,0,0
incomplete-union,incomplete-union,affine-clock,16085046,20,1,6447123,51463788363,196321777,2543368211,4944702338,2629561390,1,1,0,1,14,0,1,1,46,46,1280,1280,0.04096,0.04096,874,874,706,706,168,168,1,3,40,2,1,3,40,2,28,52,104,1,2.77555756156289e-17,0.0015524762053154,0.00142170664714314,1194,1194,46,0.337846960278411,20.3708176167047,0.24468085106383,0.252764612954186,0,0
zero-loss-valid,valid,zero-clock,16085047,5,0,55956,275675799,14035826,412704444,688246039,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,176,176,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
zero-loss-valid,valid,affine-clock,16085047,5,1,55956,275675799,14035826,412704444,706863830,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,176,176,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00241093442881812,0.000375780568400125,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
iid20-valid,valid,zero-clock,16085047,5,0,55956,3259806180,14243879,408025224,703477978,112995963,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,155,155,33,33,1,3,40,3,1,3,40,3,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
iid20-valid,valid,affine-clock,16085047,5,1,55956,3259806180,14243879,408025224,700210696,112995963,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,155,155,33,33,1,3,40,3,1,3,40,3,28,0,0,1,0,0.00241093442881812,0.000375780568400125,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
iid40-valid,valid,zero-clock,16085047,5,0,55956,3259806180,14551815,416064406,704096309,112587725,1,1,1,1,16,0,1,1,51,51,1414,1414,0.045248,0.045248,204,204,118,118,86,86,1,5,40,5,1,5,40,5,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,292,292,51,0.0844617400696028,5.16770440417617,0.271276595744681,0.279225908372828,0,0
iid40-valid,valid,affine-clock,16085047,5,1,55956,3259806180,14551815,416064406,723291831,112587725,1,1,1,1,16,0,1,1,51,51,1414,1414,0.045248,0.045248,204,204,118,118,86,86,1,5,40,5,1,5,40,5,28,0,0,1,0,0.00241093442881812,0.000375780568400125,292,292,51,0.0844617400696028,5.16770440417617,0.271276595744681,0.279225908372828,0,0
revoke-blackout,revoke-blackout,zero-clock,16085047,5,0,55956,3258268391,14243879,407329873,705214912,112995963,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,153,153,35,35,1,3,40,3,1,3,40,3,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
revoke-blackout,revoke-blackout,affine-clock,16085047,5,1,55956,3258268391,14243879,407329873,701947630,112995963,1,1,1,1,14,0,1,1,47,47,1306,1306,0.041792,0.041792,188,188,153,153,35,35,1,3,40,3,1,3,40,3,28,0,0,1,0,0.00241093442881812,0.000375780568400125,294,294,47,0.0844617400696028,5.16770440417617,0.25,0.257898894154818,0,0
response-blackout,response-blackout,zero-clock,16085047,5,0,55956,3139327705,16770228,579590177,969051695,109889281,1,1,1,0,NaN,1,1,0,135,135,3686,3686,0.117952,0.117952,540,540,403,403,137,137,1,49,40,45,1,49,40,45,28,0,0,1,4.44089209850063e-16,0.00290011600464002,0,247,247,135,0.0844617400696028,5.16770440417617,0.718085106382979,0.727883096366509,0,0
