caseId,caseKind,clockArm,seed,N,clockImpaired,selectorHash,traceHash,kernelStateHash,nativeScheduleHash,scheduleHash,logicalHash,selectorAdmissible,slotChanged,actualSubsetUnion,reacquired,firstReacquiredFrame,finalSuppressed,dataTransitionExact,fixedProofAfterReacquisition,kernelControlAttempts,physicalControlAttempts,kernelControlBytes,physicalControlBytes,kernelControlAirtime,physicalControlAirtime,kernelRecipientAttempts,physicalRecipientAttempts,kernelRecipientSuccess,physicalRecipientSuccess,kernelRecipientErasure,physicalRecipientErasure,revokeMapped,claimMapped,proofMapped,responseMapped,kernelRevokeAttempts,kernelClaimAttempts,kernelProofAttempts,kernelResponseAttempts,maxControlPacketBytes,kernelCollisionFrames,physicalCollisionFrames,clockTimingConflictFree,clockEquationResidual,clockMinIntergroupGap,clockMaxIntragroupSkew,nativeDataAttempts,physicalDataAttempts,nativeControlAttempts,physicalFrameDuration,horizonSec,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
response-blackout,response-blackout,zero-clock,16085047,20,0,6447123,50887316341,204238828,2616945830,5047019985,2553355102,1,1,1,0,NaN,1,1,0,128,128,3504,3504,0.112128,0.112128,2432,2432,1907,1907,525,525,1,49,40,38,1,49,40,38,28,0,0,1,8.88178419700125e-16,0.00290011600463913,0,1147,1147,128,0.337846960278411,20.3708176167047,0.680851063829787,0.691943127962085,0,0
response-blackout,response-blackout,affine-clock,16085047,20,1,6447123,50887316341,204238828,2616945830,5080006672,2553355102,1,1,1,0,NaN,1,1,0,128,128,3504,3504,0.112128,0.112128,2432,2432,1907,1907,525,525,1,49,40,38,1,49,40,38,28,0,0,1,2.77555756156289e-17,0.00147486686404363,0.00125611514387813,1147,1147,128,0.337846960278411,20.3708176167047,0.680851063829787,0.691943127962085,0,0
incomplete-union,incomplete-union,zero-clock,16085047,20,0,6447123,51367736352,196321777,2543093418,4956983606,2629561390,1,1,0,1,14,0,1,1,46,46,1280,1280,0.04096,0.04096,874,874,692,692,182,182,1,3,40,2,1,3,40,2,28,52,104,1,0,0.00290011600463913,0,1194,1194,46,0.337846960278411,20.3708176167047,0.24468085106383,0.252764612954186,0,0
incomplete-union,incomplete-union,affine-clock,16085047,20,1,6447123,51367736352,196321777,2543093418,4954704632,2629561390,1,1,0,1,14,0,1,1,46,46,1280,1280,0.04096,0.04096,874,874,692,692,182,182,1,3,40,2,1,3,40,2,28,52,104,1,2.77555756156289e-17,0.00147486686404363,0.00125611514387813,1194,1194,46,0.337846960278411,20.3708176167047,0.24468085106383,0.252764612954186,0,0
zero-loss-valid,valid,zero-clock,16085048,5,0,55956,275675799,14035826,412704444,688246039,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,176,176,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
zero-loss-valid,valid,affine-clock,16085048,5,1,55956,275675799,14035826,412704444,693946048,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,176,176,0,0,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00268808676596155,0.000159190222350447,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
iid20-valid,valid,zero-clock,16085048,5,0,55956,3274420269,14035826,413443197,689656236,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,144,144,32,32,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
iid20-valid,valid,affine-clock,16085048,5,1,55956,3274420269,14035826,413443197,695356245,113699723,1,1,1,1,12,0,1,1,44,44,1224,1224,0.039168,0.039168,176,176,144,144,32,32,1,1,40,2,1,1,40,2,28,0,0,1,1.11022302462516e-16,0.00268808676596155,0.000159190222350447,296,296,44,0.0844617400696028,5.16770440417617,0.234042553191489,0.241706161137441,0,0
iid40-valid,valid,zero-clock,16085048,5,0,55956,3274420269,14089414,410017317,685885626,113217638,1,1,1,1,13,0,1,1,45,45,1252,1252,0.040064,0.040064,180,180,104,104,76,76,1,2,40,2,1,2,40,2,28,0,0,1,1.11022302462516e-16,0.00290011600464002,0,295,295,45,0.0844617400696028,5.16770440417617,0.23936170212766,0.247235387045814,0,0
iid40-valid,valid,affine-clock,16085048,5,1,55956,3274420269,14089414,410017317,703424150,113217638,1,1,1,1,13,0,1,1,45,45,1252,1252,0.040064,0.040064,180,180,104,104,76,76,1,2,40,2,1,2,40,2,28,0,0,1,1.11022302462516e-16,0.00268808676596155,0.000159190222350447,295,295,45,0.0844617400696028,5.16770440417617,0.23936170212766,0.247235387045814,0,0
